"timestamp","ram_used_mb","ram_total_mb","ram_used_percent","unreal_running","shader_worker_running","sidecar_health_ok"
"2026-04-03T11:43:11","12192.66","16105.3","75.71","False","False","False"
"2026-04-03T11:43:15","12208.32","16105.3","75.8","False","False","False"
"2026-04-03T11:43:19","12218.69","16105.3","75.87","False","False","False"
"2026-04-03T11:43:22","12190.09","16105.3","75.69","False","False","False"
"2026-04-03T11:43:25","12181.12","16105.3","75.63","False","False","False"
"2026-04-03T11:43:28","12185.04","16105.3","75.66","False","False","False"
"2026-04-03T11:43:32","12161.94","16105.3","75.52","False","False","False"
"2026-04-03T11:43:35","12170.18","16105.3","75.57","False","False","False"
"2026-04-03T11:43:38","12141.11","16105.3","75.39","False","False","False"
"2026-04-03T11:43:41","12129.18","16105.3","75.31","False","False","False"
"2026-04-03T11:43:45","12124.93","16105.3","75.29","False","False","False"
"2026-04-03T11:43:48","12123.61","16105.3","75.28","False","False","False"
"2026-04-03T11:43:51","12121.69","16105.3","75.27","False","False","False"
"2026-04-03T11:43:55","12098.41","16105.3","75.12","False","False","False"
"2026-04-03T11:43:58","12085.01","16105.3","75.04","False","False","False"
"2026-04-03T11:44:01","12092.06","16105.3","75.08","False","False","False"
"2026-04-03T11:44:04","12083.06","16105.3","75.03","False","False","False"
"2026-04-03T11:44:08","12077.88","16105.3","74.99","False","False","False"
"2026-04-03T11:44:11","12112.33","16105.3","75.21","False","False","False"
